region,statistikkvariabel,år,value
Jevnaker,Innflytting,2004,296
Jevnaker,Innflytting,2005,326
Jevnaker,Innflytting,2006,288
Jevnaker,Innflytting,2007,325
Jevnaker,Innflytting,2008,309
Jevnaker,Innflytting,2009,353
Jevnaker,Innflytting,2010,356
Jevnaker,Innflytting,2011,427
Jevnaker,Innflytting,2012,309
Jevnaker,Innflytting,2013,397
Jevnaker,Innflytting,2014,393
Jevnaker,Innflytting,2015,391
Jevnaker,Innflytting,2016,422
Jevnaker,Innflytting,2017,457
Jevnaker,Innflytting,2018,436
Jevnaker,Innflytting,2019,383
Jevnaker,Utflytting,2004,301
Jevnaker,Utflytting,2005,362
Jevnaker,Utflytting,2006,348
Jevnaker,Utflytting,2007,309
Jevnaker,Utflytting,2008,313
Jevnaker,Utflytting,2009,323
Jevnaker,Utflytting,2010,287
Jevnaker,Utflytting,2011,309
Jevnaker,Utflytting,2012,350
Jevnaker,Utflytting,2013,339
Jevnaker,Utflytting,2014,300
Jevnaker,Utflytting,2015,356
Jevnaker,Utflytting,2016,338
Jevnaker,Utflytting,2017,369
Jevnaker,Utflytting,2018,377
Jevnaker,Utflytting,2019,370
Ringerike,Innflytting,2004,1109
Ringerike,Innflytting,2005,1147
Ringerike,Innflytting,2006,1242
Ringerike,Innflytting,2007,1349
Ringerike,Innflytting,2008,1284
Ringerike,Innflytting,2009,1305
Ringerike,Innflytting,2010,1353
Ringerike,Innflytting,2011,1543
Ringerike,Innflytting,2012,1493
Ringerike,Innflytting,2013,1547
Ringerike,Innflytting,2014,1502
Ringerike,Innflytting,2015,1545
Ringerike,Innflytting,2016,1636
Ringerike,Innflytting,2017,1657
Ringerike,Innflytting,2018,1544
Ringerike,Innflytting,2019,1565
Ringerike,Utflytting,2004,1088
Ringerike,Utflytting,2005,1002
Ringerike,Utflytting,2006,1037
Ringerike,Utflytting,2007,1146
Ringerike,Utflytting,2008,1145
Ringerike,Utflytting,2009,1143
Ringerike,Utflytting,2010,1241
Ringerike,Utflytting,2011,1254
Ringerike,Utflytting,2012,1292
Ringerike,Utflytting,2013,1322
Ringerike,Utflytting,2014,1386
Ringerike,Utflytting,2015,1403
Ringerike,Utflytting,2016,1360
Ringerike,Utflytting,2017,1387
Ringerike,Utflytting,2018,1359
Ringerike,Utflytting,2019,1320
Hole,Innflytting,2004,378
Hole,Innflytting,2005,404
Hole,Innflytting,2006,468
Hole,Innflytting,2007,489
Hole,Innflytting,2008,541
Hole,Innflytting,2009,404
Hole,Innflytting,2010,518
Hole,Innflytting,2011,553
Hole,Innflytting,2012,523
Hole,Innflytting,2013,567
Hole,Innflytting,2014,567
Hole,Innflytting,2015,529
Hole,Innflytting,2016,463
Hole,Innflytting,2017,456
Hole,Innflytting,2018,457
Hole,Innflytting,2019,379
Hole,Utflytting,2004,360
Hole,Utflytting,2005,330
Hole,Utflytting,2006,350
Hole,Utflytting,2007,323
Hole,Utflytting,2008,335
Hole,Utflytting,2009,307
Hole,Utflytting,2010,390
Hole,Utflytting,2011,389
Hole,Utflytting,2012,427
Hole,Utflytting,2013,445
Hole,Utflytting,2014,486
Hole,Utflytting,2015,477
Hole,Utflytting,2016,473
Hole,Utflytting,2017,405
Hole,Utflytting,2018,454
Hole,Utflytting,2019,424
Modum,Innflytting,2004,504
Modum,Innflytting,2005,539
Modum,Innflytting,2006,522
Modum,Innflytting,2007,635
Modum,Innflytting,2008,591
Modum,Innflytting,2009,548
Modum,Innflytting,2010,616
Modum,Innflytting,2011,711
Modum,Innflytting,2012,740
Modum,Innflytting,2013,795
Modum,Innflytting,2014,666
Modum,Innflytting,2015,765
Modum,Innflytting,2016,624
Modum,Innflytting,2017,714
Modum,Innflytting,2018,748
Modum,Innflytting,2019,681
Modum,Utflytting,2004,546
Modum,Utflytting,2005,473
Modum,Utflytting,2006,530
Modum,Utflytting,2007,508
Modum,Utflytting,2008,424
Modum,Utflytting,2009,538
Modum,Utflytting,2010,569
Modum,Utflytting,2011,549
Modum,Utflytting,2012,510
Modum,Utflytting,2013,576
Modum,Utflytting,2014,589
Modum,Utflytting,2015,651
Modum,Utflytting,2016,617
Modum,Utflytting,2017,614
Modum,Utflytting,2018,658
Modum,Utflytting,2019,552
Ringerike,Innflytting,2020,1620
Ringerike,Innflytting,2021,1727
Ringerike,Utflytting,2020,1370
Ringerike,Utflytting,2021,1504
Hole,Innflytting,2020,384
Hole,Innflytting,2021,475
Hole,Utflytting,2020,396
Hole,Utflytting,2021,434
Modum,Innflytting,2020,651
Modum,Innflytting,2021,803
Modum,Utflytting,2020,604
Modum,Utflytting,2021,652
Jevnaker,Innflytting,2020,384
Jevnaker,Innflytting,2021,418
Jevnaker,Utflytting,2020,374
Jevnaker,Utflytting,2021,368
