region,statistikkvariabel,år,value
Jevnaker,Nettoinnflytting,2004,-5
Jevnaker,Nettoinnflytting,2005,-36
Jevnaker,Nettoinnflytting,2006,-60
Jevnaker,Nettoinnflytting,2007,16
Jevnaker,Nettoinnflytting,2008,-4
Jevnaker,Nettoinnflytting,2009,30
Jevnaker,Nettoinnflytting,2010,69
Jevnaker,Nettoinnflytting,2011,118
Jevnaker,Nettoinnflytting,2012,-41
Jevnaker,Nettoinnflytting,2013,58
Jevnaker,Nettoinnflytting,2014,93
Jevnaker,Nettoinnflytting,2015,35
Jevnaker,Nettoinnflytting,2016,84
Jevnaker,Nettoinnflytting,2017,88
Jevnaker,Nettoinnflytting,2018,59
Jevnaker,Nettoinnflytting,2019,13
Ringerike,Nettoinnflytting,2004,21
Ringerike,Nettoinnflytting,2005,145
Ringerike,Nettoinnflytting,2006,205
Ringerike,Nettoinnflytting,2007,203
Ringerike,Nettoinnflytting,2008,139
Ringerike,Nettoinnflytting,2009,162
Ringerike,Nettoinnflytting,2010,112
Ringerike,Nettoinnflytting,2011,289
Ringerike,Nettoinnflytting,2012,201
Ringerike,Nettoinnflytting,2013,225
Ringerike,Nettoinnflytting,2014,116
Ringerike,Nettoinnflytting,2015,142
Ringerike,Nettoinnflytting,2016,276
Ringerike,Nettoinnflytting,2017,270
Ringerike,Nettoinnflytting,2018,185
Ringerike,Nettoinnflytting,2019,245
Hole,Nettoinnflytting,2004,18
Hole,Nettoinnflytting,2005,74
Hole,Nettoinnflytting,2006,118
Hole,Nettoinnflytting,2007,166
Hole,Nettoinnflytting,2008,206
Hole,Nettoinnflytting,2009,97
Hole,Nettoinnflytting,2010,128
Hole,Nettoinnflytting,2011,164
Hole,Nettoinnflytting,2012,96
Hole,Nettoinnflytting,2013,122
Hole,Nettoinnflytting,2014,81
Hole,Nettoinnflytting,2015,52
Hole,Nettoinnflytting,2016,-10
Hole,Nettoinnflytting,2017,51
Hole,Nettoinnflytting,2018,3
Hole,Nettoinnflytting,2019,-45
Modum,Nettoinnflytting,2004,-42
Modum,Nettoinnflytting,2005,66
Modum,Nettoinnflytting,2006,-8
Modum,Nettoinnflytting,2007,127
Modum,Nettoinnflytting,2008,167
Modum,Nettoinnflytting,2009,10
Modum,Nettoinnflytting,2010,47
Modum,Nettoinnflytting,2011,162
Modum,Nettoinnflytting,2012,230
Modum,Nettoinnflytting,2013,219
Modum,Nettoinnflytting,2014,77
Modum,Nettoinnflytting,2015,114
Modum,Nettoinnflytting,2016,7
Modum,Nettoinnflytting,2017,100
Modum,Nettoinnflytting,2018,90
Modum,Nettoinnflytting,2019,129
Ringerike,Nettoinnflytting,2020,250
Ringerike,Nettoinnflytting,2021,223
Hole,Nettoinnflytting,2020,-12
Hole,Nettoinnflytting,2021,41
Modum,Nettoinnflytting,2020,47
Modum,Nettoinnflytting,2021,151
Jevnaker,Nettoinnflytting,2020,10
Jevnaker,Nettoinnflytting,2021,50
